RiderID,RaceName,RaceType,Year,Position,BikeNumber,RiderURL,Rider1,Rider2,Machine,Time,Speed
9925,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,14,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9925,Carl Fenwick,Mark Sayers,,,0
8616,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,15,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8616,Dave Wallis,Steven Wareham,,,0
9876,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,16,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9876,Dean Banks,James Stonier,,,0
8582,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,18,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8582,Karl BENNETT,Lee Cain,,,0
10172,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,24,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10172,Eddy Wright,Dickie Gale,,,0
4406,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,29,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4406,Keith Walters,Alun Thomas,,,0
9844,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,39,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9844,Michael Lines,Julie Hanks-Elliott,,,0
9484,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,40,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9484,Nigel Mayers,Douglas Chandler,,,0
9802,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,45,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9802,Stuart Stobbart,Jamie Scarffe,,,0
9155,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,51,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9155,Dave Saunders,Grace Bradbury,,,0
4508,TT 2012 Sure Sidecar Race 1 Results,TT 2012 Sure Sidecar Race 1 Results,2012,DNF,56,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4508,Claude Montagnier,Laurent Seyeux,,,0
